doors,628,76,44,47,sample_annotated_img3.jpg,820,697
doors,190,186,46,51,sample_annotated_img3.jpg,820,697
doors,207,239,26,21,sample_annotated_img3.jpg,820,697
doors,428,342,41,42,sample_annotated_img3.jpg,820,697
doors,337,423,42,39,sample_annotated_img3.jpg,820,697
doors,571,382,43,40,sample_annotated_img3.jpg,820,697
doors,405,448,31,33,sample_annotated_img3.jpg,820,697
doors,336,481,39,40,sample_annotated_img3.jpg,820,697
doors,427,522,42,42,sample_annotated_img3.jpg,820,697
doors,535,527,40,38,sample_annotated_img3.jpg,820,697
doors,582,513,40,40,sample_annotated_img3.jpg,820,697
sinks,535,26,54,37,sample_annotated_img3.jpg,820,697
sinks,638,482,28,33,sample_annotated_img3.jpg,820,697
toilets,542,424,37,34,sample_annotated_img3.jpg,820,697
toilets,495,489,31,37,sample_annotated_img3.jpg,820,697
sinks,442,491,35,24,sample_annotated_img3.jpg,820,697
bathtubs,577,575,93,45,sample_annotated_img3.jpg,820,697
windows,187,75,14,81,sample_annotated_img3.jpg,820,697
windows,659,271,24,92,sample_annotated_img3.jpg,820,697
windows,187,388,16,82,sample_annotated_img3.jpg,820,697
windows,184,478,19,76,sample_annotated_img3.jpg,820,697
